Miguel Cabrera, Det 3B Smang It
Ryan Braun, Mil OF Team CoCain
Matt Kemp, LAD OF Hisashi Iwakuma Matata
Robinson Cano, Sea 2B Balfour Rage
Albert Pujols, LAA 1B That'll do Puig That'll do.
Joey Votto, Cin 1B Mr. Gneiss Guy
Prince Fielder, Tex 1B Homerun Sluts
Troy Tulowitzki, Col SS Team susk
Carlos Gonzalez, Col OF Cole World
Justin Upton, Atl OF Romo Sexuals
Jose Bautista, Tor OF Huff the Magic Dragon
Justin Verlander, Det SP Zito For CY Young
Giancarlo Stanton, Mia OF Zito For CY Young
Ian Kinsler, Det 2B Huff the Magic Dragon
Dustin Pedroia, Bos 2B Romo Sexuals
Evan Longoria, TB 3B Cole World
Cliff Lee, Phi SP Team susk
Brandon Phillips, Cin 2B Homerun Sluts
Jose Reyes, Tor SS Mr. Gneiss Guy
Yu Darvish, Tex SP That'll do Puig That'll do.
Adrian Gonzalez, LAD 1B Balfour Rage
Adam Wainwright, StL SP Hisashi Iwakuma Matata
Mat Latos, Cin SP Team CoCain
Allen Craig, StL 1B Smang It
