"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Buster Posey","635","556","169","38","2","21","82","89","67","84","6","2","2",".304",".383",".490",".873",".378","-2.2","3.0","7.1","9166"
"Joe Mauer","654","560","167","35","2","14","83","72","83","102","3","3","2",".297",".388",".439",".827",".361","-0.1","-0.2","3.3","1857"
"Wilin Rosario","538","502","140","28","2","29","69","86","27","114","3","5","3",".278",".316",".515",".831",".357","0.0","-2.2","3.4","8002"
"Carlos Santana","623","521","131","32","1","20","78","77","92","106","4","4","2",".252",".366",".435",".801",".352","-2.1","-0.6","4.2","2396"
"Mike Napoli","472","403","99","22","1","20","61","64","59","138","5","2","1",".245",".347",".460",".807",".351","-0.7","2.5","2.0","3057"
"Yadier Molina","456","415","122","27","0","11","51","55","32","47","3","4","3",".293",".346",".439",".785",".342","-2.1","5.9","3.9","7007"
"Brian McCann","551","486","124","23","1","24","68","75","56","87","4","2","1",".255",".334",".452",".786",".340","-2.5","0.6","3.6","4810"
"Salvador Perez","510","476","138","27","2","14","60","66","24","53","4","1","1",".291",".328",".447",".776",".337","-1.0","4.2","3.8","7304"
"Jonathan Lucroy","492","445","123","21","4","14","54","58","37","66","4","5","3",".277",".336",".433",".768",".336","-1.4","-2.0","2.9","7870"
"Evan Gattis","466","427","109","25","1","21","56","67","28","88","6","2","1",".256",".308",".469",".778",".335","-0.2","0.8","3.3","11003"
"Alex Avila","420","359","88","20","2","12","50","48","53","106","3","2","1",".246",".345",".412",".756",".334","-0.8","-2.3","2.4","7476"
"Wilson Ramos","392","356","95","18","1","15","42","50","28","58","2","2","1",".266",".321",".447",".768",".332","-0.5","-0.6","2.4","1433"
"Yasmani Grandal","269","231","59","13","1","6","28","28","33","48","2","1","1",".256",".350",".399",".750",".331","-0.3","-1.5","1.7","11368"
"Miguel Montero","581","505","129","29","2","15","64","66","63","125","8","1","1",".256",".345",".408",".753",".331","-1.9","3.5","3.6","3364"
"Carlos Ruiz","431","383","105","25","1","9","44","47","34","51","9","2","1",".274",".344",".415",".759",".331","-1.2","1.5","2.7","2579"
"John Jaso","380","321","79","18","1","7","45","37","50","59","3","4","2",".248",".353",".377",".730",".328","-0.6","-0.3","0.6","5887"
"Jason Castro","592","520","130","31","2","17","68","69","62","138","4","3","2",".250",".332",".413",".744",".327","-0.2","-2.8","3.4","8722"
"Yan Gomes","467","425","110","26","2","15","54","58","30","100","6","3","2",".260",".314",".433",".747",".326","-0.2","3.8","3.5","9627"
"Welington Castillo","410","364","93","21","1","12","42","46","35","90","6","2","1",".255",".328",".414",".742",".326","-0.4","-0.5","2.2","3256"
"Jesus Montero","1","1","0","0","0","0","0","0","0","0","0","0","0",".257",".317",".432",".748",".325","0.0","0.0","0.0","5514"
"Matt Wieters","507","453","113","24","1","18","58","62","45","88","3","2","1",".249",".319",".425",".744",".324","-1.9","4.5","3.1","4298"
"Travis d'Arnaud","428","383","97","22","1","13","44","49","35","81","3","2","2",".254",".320",".418",".738",".323","0.0","-0.7","2.6","7739"
"George Kottaras","219","184","40","9","1","7","23","23","30","57","2","2","1",".219",".332",".393",".725",".321","-0.4","-1.1","1.0","5506"
"Derek Norris","350","303","70","15","1","11","41","40","39","75","3","5","3",".232",".323",".402",".725",".321","-0.1","-0.2","2.1","6867"
"Michael McKenry","52","47","11","3","0","2","6","6","4","11","0","0","0",".247",".314",".419",".733",".320","-0.1","-0.4","0.1","9628"
"Chris Iannetta","288","239","53","11","1","8","34","30","42","68","2","2","1",".220",".339",".374",".714",".320","-0.7","-1.2","1.6","8267"
"Josmil Pinto","339","306","79","17","1","9","37","37","26","61","2","1","1",".257",".319",".404",".723",".318","0.0","1.2","2.0","6806"
"Ryan Lavarnway","53","47","12","3","0","1","6","6","4","9","0","0","0",".253",".320",".402",".721",".317","0.0","-0.5","0.2","8879"
"Dioner Navarro","365","327","83","15","1","10","41","42","31","51","3","2","1",".253",".321",".398",".719",".316","-1.7","-0.8","1.6","3179"
"Ryan Doumit","294","265","67","15","1","8","31","34","23","52","2","1","0",".251",".315",".404",".719",".314","-0.9","-1.1","-0.1","2113"
"A.J. Ellis","507","436","106","22","1","10","50","49","58","93","6","2","1",".243",".337",".367",".704",".313","-1.0","5.2","3.2","5677"
"Geovany Soto","327","286","65","15","1","11","37","38","33","81","3","2","2",".226",".310",".398",".709",".312","-1.3","0.6","1.3","3707"
"Charlie Cutler","14","12","3","1","0","0","1","1","1","2","0","0","0",".257",".334",".369",".703",".312","0.0","0.0","0.1","sa454748"
"Devin Mesoraco","440","396","97","22","1","14","44","50","35","73","3","3","2",".246",".308",".410",".718",".312","-0.6","0.5","2.0","5666"
"Andrew Susac","34","30","7","2","0","1","4","4","3","7","0","0","0",".238",".317",".384",".701",".311","0.0","0.0","0.2","sa501940"
"Stephen Vogt","205","187","48","10","1","5","23","23","15","32","1","1","1",".255",".310",".397",".707",".310","-0.1","0.0","1.0","5000"
"Russell Martin","497","429","98","20","0","13","52","52","55","98","6","8","4",".228",".322",".369",".691",".309","-0.4","4.2","2.8","4616"
"Hank Conger","388","348","85","19","1","10","43","44","30","75","4","2","1",".245",".310",".394",".704",".308","-0.2","-0.5","1.9","2505"
"Tom Murphy","1","1","0","0","0","0","0","0","0","0","0","0","0",".243",".296",".409",".705",".308","0.0","0.0","0.0","sa657946"
"Yorvit Torrealba","1","1","0","0","0","0","0","0","0","0","0","0","0",".263",".318",".379",".697",".307","0.0","0.0","0.0","1135"
"Erik Kratz","291","261","62","14","1","10","33","34","22","57","3","1","1",".236",".302",".404",".706",".307","-0.5","1.1","1.3","4403"
"A.J. Pierzynski","338","317","84","16","1","8","36","39","14","48","4","1","1",".266",".303",".401",".705",".306","-1.7","1.6","1.4","746"
"Anthony Recker","177","157","36","8","1","5","17","19","16","46","1","2","1",".230",".306",".388",".694",".306","-0.1","-0.1","0.8","4063"
"Max Stassi","67","61","15","3","0","2","7","8","4","14","1","1","0",".243",".294",".405",".700",".306","0.0","0.0","0.3","10059"
"Robert Kral","1","1","0","0","0","0","0","0","0","0","0","0","0",".224",".319",".364",".683",".305","0.0","0.0","0.0","sa526396"
"Jarrod Saltalamacchia","425","380","86","21","1","14","42","47","37","124","2","3","2",".226",".297",".399",".696",".305","0.0","-2.7","1.5","5557"
"Chris Denove","1","1","0","0","0","0","0","0","0","0","0","0","0",".245",".310",".380",".690",".304","0.0","0.0","0.0","sa294097"
"Ben Theriot","1","1","0","0","0","0","0","0","0","0","0","0","0",".250",".311",".378",".689",".303","0.0","0.0","0.0","sa501557"
"Curt Casali","1","1","0","0","0","0","0","0","0","0","0","0","0",".247",".312",".375",".687",".303","0.0","0.0","0.0","sa545020"
"Luis Alvarez","1","1","0","0","0","0","0","0","0","0","0","0","0",".246",".297",".397",".694",".303","0.0","0.0","0.0","sa503151"
"David Ross","195","173","40","9","1","5","21","21","18","59","1","2","1",".230",".304",".381",".684",".303","-0.8","1.7","0.8","1551"
"Daniel Butler","52","47","11","3","0","1","6","6","4","10","1","0","0",".237",".307",".377",".684",".303","0.0","0.0","0.2","sa510223"
"Steve Clevenger","33","30","7","2","0","1","3","3","3","5","0","0","0",".251",".314",".369",".684",".302","0.0","-0.2","0.1","9542"
"Hector Sanchez","98","90","23","5","0","2","10","11","6","18","1","1","0",".257",".305",".384",".689",".302","-0.1","-0.6","0.4","10289"
"Ed Easley","1","1","0","0","0","0","0","0","0","0","0","0","0",".257",".319",".361",".680",".302","0.0","0.0","0.0","sa390303"
"John Suomi","1","1","0","0","0","0","0","0","0","0","0","0","0",".255",".305",".381",".685",".301","0.0","0.0","0.0","sa199527"
"Christian Vazquez","26","24","6","1","0","0","3","3","2","4","0","0","0",".249",".313",".362",".676",".300","0.0","0.0","0.1","sa455056"
"Johnny Monell","33","29","7","2","0","1","4","3","3","7","0","0","0",".229",".304",".375",".679",".300","0.0","0.0","0.1","2783"
"Francisco Cervelli","98","86","21","4","0","1","10","9","9","19","1","1","1",".242",".320",".349",".669",".300","0.0","0.1","0.4","5275"
"J.P. Arencibia","361","333","74","16","1","16","41","48","20","96","3","2","1",".222",".271",".420",".691",".300","-0.6","-0.9","1.0","697"
"Gary Sanchez","20","18","4","1","0","1","2","2","1","4","0","0","0",".240",".291",".392",".683",".300","0.0","0.0","0.1","sa549555"
"Chris Snyder","97","85","19","4","0","3","10","10","10","24","1","1","0",".219",".305",".374",".679",".300","-0.4","0.0","0.3","4606"
"Robinson Chirinos","99","88","21","4","1","2","11","10","9","19","1","1","0",".235",".310",".364",".674",".299","-0.1","0.0","0.3","3142"
"Shawn Zarraga","1","1","0","0","0","0","0","0","0","0","0","0","0",".256",".312",".364",".676",".299","0.0","0.0","0.0","sa456095"
"Tony Sanchez","66","59","14","3","0","1","6","7","5","13","1","0","0",".240",".306",".369",".675",".299","0.0","-0.1","0.2","6178"
"Ryan Hanigan","351","303","76","13","1","4","36","31","39","39","4","1","1",".250",".341",".337",".677",".298","-0.5","5.0","2.0","4952"
"Mike Zunino","454","408","92","19","2","14","48","50","35","109","5","2","1",".225",".291",".384",".675",".297","0.3","-0.8","1.6","13265"
"Dustin Garneau","14","12","3","1","0","0","1","1","1","2","0","0","0",".233",".291",".383",".674",".297","0.0","0.0","0.0","sa502010"
"Hector Gimenez","1","1","0","0","0","0","0","0","0","0","0","0","0",".231",".298",".377",".674",".297","0.0","0.0","0.0","2172"
"Raywilly Gomez","1","1","0","0","0","0","0","0","0","0","0","0","0",".253",".320",".344",".664",".297","0.0","0.0","0.0","sa503268"
"Joel Galarraga","1","1","0","0","0","0","0","0","0","0","0","0","0",".254",".312",".360",".672",".296","0.0","0.0","0.0","sa489713"
"Kurt Suzuki","290","262","64","14","1","6","29","30","20","41","3","2","1",".244",".303",".373",".677",".296","-0.3","-1.0","0.9","8259"
"Ryan Mccurdy","1","1","0","0","0","0","0","0","0","0","0","0","0",".242",".311",".355",".666",".296","0.0","0.0","0.0","sa550221"
"Rossmel Perez","1","1","0","0","0","0","0","0","0","0","0","0","0",".256",".320",".341",".661",".296","0.0","0.0","0.0","sa455612"
"Brayan Pena","225","209","54","11","0","4","20","23","11","26","2","2","1",".258",".297",".376",".672",".295","-1.1","-0.9","0.5","3231"
