"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Troy Tulowitzki","600","527","158","37","2","28","85","94","62","89","5","3","2",".300",".376",".534",".910",".391","-0.4","1.8","5.5","3531"
"Hanley Ramirez","565","504","140","29","2","20","71","75","52","98","5","14","7",".279",".349",".463",".812",".352","0.5","-2.5","4.3","8001"
"Josh Rutledge","305","280","79","18","2","8","38","35","17","52","4","7","3",".283",".330",".448",".777",".339","0.4","-1.2","1.0","11167"
"Jose Reyes","600","541","157","33","5","10","82","58","48","57","2","23","9",".290",".348",".426",".774",".337","1.3","-3.6","3.4","1736"
"Jed Lowrie","536","480","127","30","2","13","64","62","46","78","3","2","1",".264",".330",".415",".746",".327","-0.4","-2.1","2.8","4418"
"Brad Miller","628","562","150","27","6","14","80","60","52","97","3","14","8",".268",".331",".413",".744",".327","0.8","0.4","3.6","12775"
"Xander Bogaerts","558","500","130","27","3","14","65","64","45","109","4","8","5",".261",".325",".413",".738",".325","-0.1","0.7","2.7","12161"
"Ian Desmond","554","508","135","30","2","16","62","63","36","117","4","15","7",".266",".316",".426",".742",".324","0.9","1.5","3.0","6885"
"Asdrubal Cabrera","524","473","122","29","2","13","62","59","39","95","6","8","4",".259",".321",".408",".729",".320","-0.1","-5.1","2.2","4962"
"Starlin Castro","617","571","158","34","5","11","70","59","34","90","4","13","8",".277",".320",".411",".731",".319","-0.4","1.4","2.7","4579"
"Jean Segura","611","564","158","23","8","11","72","58","33","77","5","33","16",".281",".324",".407",".731",".319","0.3","-0.7","2.6","5933"
"Jhonny Peralta","530","478","126","30","1","11","52","57","43","99","3","4","2",".263",".325",".400",".724",".319","-2.0","2.4","2.6","1738"
"Andrelton Simmons","625","570","152","30","5","13","69","62","41","53","4","10","6",".267",".318",".408",".726",".318","-0.3","11.5","4.1","10847"
"Dean Anna","135","120","32","7","1","2","15","13","12","18","2","1","1",".263",".334",".379",".714",".317","-0.1","0.0","0.5","sa455288"
"Derek Jeter","412","372","105","17","1","5","49","34","30","56","4","6","3",".281",".339",".376",".715",".317","-0.5","-3.9","1.3","826"
"Radames Nazario","1","1","0","0","0","0","0","0","0","0","0","0","0",".268",".321",".396",".717",".315","0.0","0.0","0.0","sa291163"
"Elvis Andrus","662","591","162","27","5","5","82","57","58","84","5","29","12",".274",".341",".363",".704",".315","4.3","2.8","3.2","8709"
"J.J. Hardy","617","568","144","29","1","21","71","72","39","82","2","2","1",".254",".302",".419",".721",".314","-0.7","2.4","2.6","3797"
"Jordy Mercer","399","364","95","22","2","7","41","40","25","67","4","5","3",".260",".314",".391",".705",".309","-0.5","-0.9","1.4","6547"
"Erick Aybar","592","550","150","32","4","8","68","58","29","63","5","15","7",".274",".313",".389",".703",".308","1.7","-2.6","2.5","4082"
"Jake Elmore","34","30","8","1","0","0","4","3","3","4","0","1","1",".258",".333",".353",".686",".308","0.0","-0.1","0.1","7290"
"Yunel Escobar","507","451","116","21","1","7","54","47","45","63","4","5","3",".258",".329",".360",".689",".308","-0.1","3.2","2.6","4191"
"Greg Garcia","1","1","0","0","0","0","0","0","0","0","0","0","0",".254",".333",".354",".686",".307","0.0","0.0","0.0","sa547033"
"Jose Martinez","1","1","0","0","0","0","0","0","0","0","0","0","0",".270",".311",".391",".702",".307","0.0","0.0","0.0","sa291098"
"Didi Gregorius","501","453","117","21","5","8","50","49","36","69","4","4","3",".258",".316",".381",".697",".306","0.1","0.6","1.5","6012"
"Stephen Drew","565","496","115","26","5","12","58","56","59","131","2","5","3",".232",".314",".378",".691",".305","-0.7","-0.6","1.8","4251"
"Rafael Furcal","475","425","109","22","2","6","51","36","39","57","3","10","5",".256",".321",".363",".685",".304","0.1","-1.5","1.0","88"
"Chris Owings","150","141","38","7","2","3","14","16","6","28","1","4","2",".270",".300",".398",".698",".304","-0.1","0.1","0.4","10030"
"Chris Owings","150","141","38","7","2","3","14","16","6","28","1","4","2",".270",".300",".398",".698",".304","-0.1","0.1","0.4","10030"
"Javier Baez","1","1","0","0","0","0","0","0","0","0","0","0","0",".239",".284",".415",".699",".304","0.0","0.0","0.0","sa597757"
"Jose Pirela","1","1","0","0","0","0","0","0","0","0","0","0","0",".254",".310",".375",".685",".303","0.0","0.0","0.0","sa455905"
"Alexei Ramirez","616","575","156","29","2","10","66","62","29","69","4","18","9",".271",".308",".381",".689",".302","1.3","0.9","2.0","5133"
"Tyler Pastornicky","230","210","56","11","1","3","22","22","15","31","1","5","3",".264",".314",".369",".684",".302","0.2","-1.0","0.5","6777"
"Everth Cabrera","662","586","149","28","5","5","74","47","62","123","4","45","17",".253",".326",".347",".673",".301","3.2","-1.0","2.6","8155"
"Mark Hallberg","1","1","0","0","0","0","0","0","0","0","0","0","0",".257",".316",".363",".680",".301","0.0","0.0","0.0","sa389690"
"Brian Dozier","531","480","117","24","3","11","59","51","39","94","4","12","7",".244",".304",".376",".680",".301","0.0","-0.3","1.3","9810"
"Yunesky Sanchez","1","1","0","0","0","0","0","0","0","0","0","0","0",".267",".309",".376",".684",".301","0.0","0.0","0.0","sa381319"
"Adam Rosales","227","206","51","11","1","5","25","24","16","43","2","3","2",".245",".302",".379",".681",".300","-0.1","-0.3","0.3","9682"
"Jimmy Rollins","630","562","136","30","2","12","72","53","57","86","3","18","7",".241",".312",".368",".680",".300","1.4","-0.4","1.9","971"
"Zack Cozart","600","556","140","31","3","14","63","58","31","101","4","3","1",".251",".293",".390",".683",".299","0.7","4.2","2.2","2616"
"Maicer Izturis","372","336","86","19","1","4","39","34","27","42","3","6","3",".257",".316",".356",".672",".299","0.0","-4.5","0.3","2437"
"Daniel Mayora","1","1","0","0","0","0","0","0","0","0","0","0","0",".260",".314",".361",".674",".298","0.0","0.0","0.0","sa291160"
"Tommy Field","125","112","27","6","1","3","14","13","10","24","1","1","1",".240",".306",".366",".672",".298","0.0","-0.6","0.4","6262"
"Cliff Pennington","105","94","24","5","1","1","10","9","9","19","1","2","1",".251",".316",".356",".672",".298","0.1","0.4","-0.1","3395"
"Brandon Crawford","590","529","131","29","3","9","56","56","47","102","4","4","3",".247",".311",".366",".677",".298","-0.2","2.6","2.3","5343"
"Jonathan Villar","527","476","116","20","6","10","61","47","40","131","3","33","16",".243",".303",".370",".673",".298","1.0","-4.1","1.3","10071"
"Daniel Descalso","254","228","57","14","1","3","24","24","20","42","2","4","2",".248",".312",".363",".675",".296","0.5","-1.8","0.4","8392"
"Mike Aviles","187","174","44","9","0","4","20","20","8","24","1","4","2",".255",".292",".382",".674",".296","0.1","-0.4","0.4","5986"
"Christian Colon","33","30","8","1","0","0","4","3","2","3","0","1","0",".259",".309",".359",".668",".296","0.0","0.0","0.1","sa390641"
"Eduardo Nunez","165","151","39","8","1","2","17","15","10","24","1","6","3",".257",".307",".363",".670",".296","0.2","-2.0","0.1","6848"
"Jason Bartlett","49","44","11","2","0","0","5","4","4","9","0","1","1",".248",".315",".344",".659",".295","0.1","-0.1","0.1","8219"
"Addison Maruszak","1","1","0","0","0","0","0","0","0","0","0","0","0",".243",".300",".363",".663",".294","0.0","0.0","0.0","sa455124"
